isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-EN-Ndoukoula,1,,29dT 29eN 29eP 29eY 29eZ 29fJ 29fK 29fS 29fT 2b4N 2b4P 2b4Y 2b4Z 2b5J 2b5K 2b5N 2b5P 2b5S 2b5T 2b5Y 2b5Z 2e0J 2e0K 2e0P 2e0S 2e0T 2e0Y 2e0Z 2e2J,,F L M Q U S T W X 2 K N P 8 9 B C D R G H 0 1 3 4 5 6 7 J,
CM-EN-Pette,1,,04H 04M 05H 2eR 2eV,,J K N U V,
CM-EN-SouledeRoua,1,,2bbN 2bcS 2bcT 2bcY 2bcZ 2bdK 2bdS 2bdT 2beJ 2beK 2beN 2beP 2bfJ 2bfK,,U 4 5 6 7 9 D F J K L M S T,
CM-EN-Tchatibali,1,,2d2K 2d2P 2d2Y 2d2Z 2d3S 2d3T 2d3Y 2d3Z 2d8N 2d9J,,K M Q R W X Y Z 2 8,
CM-EN-Tokombere,1,,015N 040J 040N 2bfJ 2bfK 2bfN 2bfP 2bfS 2bfT 2bfY 2bfZ 2eaK 2eaS 2eaT 2eaY 2eaZ,,B 0 2 S T U V W X Y Z K N P Q R,
CM-EN-Touloum,1,,2cdZ 2cfN 2d8P 2d8S 2d8T 2d8Y 2d8Z 2d9K 2d9S 2d9T 2daJ 2daK 2daN 2daP 2daS 2daY 2daZ 2dbJ 2dbK 2dbS,,H U 3 4 5 6 7 9 D F J K L M N Q R S T W,
CM-EN-Waza,1,,04M 04V 05H 05R 06M 07H,,K M N Q T W,
CM-EN-Wina,1,,2d6T 2d6Z 2dcJ 2dcK 2dcN 2dcP 2dcS 2dcY,,P R 0 1 2 3 4 6,
CM-EN-Yagoua,1,,2dM 2dV 2fM 38R,,P R X 2,
CM-EN-Zina,1,,04M 05H 05M 05R 05V,,K N P Q R,
CM-ES-AbongMbang,1,,a0H a0M a1H daR daV dbR,,0 1 4 B C G,
CM-ES-Angossas,1,,957K 957N 957P 957S 957T 957Y 957Z 95dJ 95dN a02J a02K a02N a02P a02S a02T a02Y a02Z a03J a03K a03P a03S a03T a03Y a08J a08N,,T U V W X Y Z 8 B J K L M N P Q R S 1 3 4 5 6 0 2,
CM-ES-Atok,1,,95H 95M a0H cfR cfV daR,,N P 0 Y Z B,
CM-ES-Batouri,1,,a1V a3M a4R a4V a5R a6H a6M a6R a7H,,7 F L M Q S T U W,
CM-ES-Belabo,1,,9dM 9dV a2M a2R a2V a3H a3R a8H a8M a8R a8V a9H a9M a9R a9V,,P R 9 B C D G 0 1 2 3 4 5 6 7,
CM-ES-Bertoua1,1,,a1bT a30N a30P a30Y a30Z a31J a31K a31S a31T a32N a32P a33J a33K a33S,,X 2 3 6 7 8 9 D F L M S T W,
CM-ES-Bertoua2,1,,a31J a31K a31P a31S a31T a31Y a31Z a33J a33K a33N a33P,,8 9 C D F G H S T U V,
CM-ES-BetareOya,1,,9fM 9fV a6V a8R a8V a9M a9R a9V aaH aaM aaR aaV abH abM abR abV acH acM acR acV aeH aeR,,X Z V 2 3 5 6 7 8 9 B C D F G H J K L M S U,
CM-ES-Diang,1,,a2M a2V a3H,,9 C D,
CM-ES-Dimako,1,,a0V a1R a2M a3H,,3 6 9 D,
CM-ES-Doumaintang,1,,a0H a0M a0R a0V a1H a2H a2M,,0 1 2 3 4 8 9,
CM-ES-Doume,1,,a0M a0V a1H a1R a2M,,1 3 4 6 9,
CM-ES-GariGombo,1,,a5H a5M deM deV dfH dfR dfV eaH eaR,,N P T V W Y Z 8 B,
CM-ES-GarouaBoulai,1,,acR acV aeH aeM aeR aeV,,L M S T U V,
CM-ES-Kentzou,1,,a5H a5M a5R a5V a7H a7M,,N P Q R W X,
CM-ES-Kette,1,,a6H a6M a6R a6V a7H a7R,,S T U V W Y,
CM-ES-Lomie,1,,cdM cdV d8H d8M d8R d8V d9H d9M d9R d9V daH daM dbH dbM dcR deH deM,,P R 0 1 2 3 4 5 6 7 8 9 D F L S T,
CM-ES-Mandjou,1,,a1R a1V a3H a3M a3R a3V a6H a9H a9M,,6 7 D F G H S 4 5,
